Code_Entite;Nom_Entite;Code_Parent;Annee;GES_Agriculture;GES_Industrie;GES_Résidentiel;GES_Tertiaire;GES_Transports;CONSO_Residentiel;CONSO_Tertiaire;puissance_enr_hydro;puissance_enr_photo;puissance_enr_eolien;prod_enr_thermique_bois_energie;prod_enr_thermique_PAC;prod_enr_thermique_Incinerateurs;prod_enr_thermique_Biogaz;prod_enr_thermique_Solaire_thermique;chaleur_renouvelable;amenagements_cyclable;pourcentageVPelectrique;tonnage_dechets_enfouis;part_dechets_recycles;nbre_recycleries;canaux;eau_potable;industrie;irrigation;Conso_ENAF;Osmo_previ;Osmo_ini;Osmo_enga;Osmo_ter;Osmo_aban;aires_protegees
38;Isère;;2021;0.583611996;3.330509473;0.98977167;0.582079818;2.661217473;8.55428093;4.313568112;3.830687;0.1409062;0.0027;2.776667879;0.55962879;0.551317842;0.01192773;0.040473589;0.423984193;;1.15873259441998;88474.92;86.0395331710684;16;28.858159;110.093215;191.91053;39.296156;366.2817;;;;;;6.83
38;Isère;;2022;0.578358075;3.022014794;0.915368536;0.56760083;2.770089963;8.113413985;4.398664489;3.823625;0.1888924;0.0027;2.522475538;0.63783586;0.626329391;0.011516676;0.039977994;0.411505608;1841.151;1.67345199153861;75716.79;86.5884981552321;18;;;;;408.5377;;;;;;6.83
38;Isère;;2023;0.581896041;2.831126282;0.860680673;0.540749804;2.754654275;7.698128133;4.098727611;3.828847;0.2711117;0.0027;2.553550538;0.724583454;0.848176213;0.012376409;0.040473589;0.519699999;1941.983;2.41868762604064;67260.97;88.4141770688406;18;;;;;432.5535;;;;;;6.86
38;Isère;;2024;0.580701996;2.797299918;0.850717577;0.467088808;2.777328398;7.512291591;4.063090053;3.843391;0.3585927;0.0027;2.652408409;0.785951954;0.899432128;0.01639371;0.040473589;0.545697688;2056.712;3.16749424359128;;;;;;;;;56;75;3;2;0;6.86
38;Isère;;2025;;;;;;;;;;;;;;;;;2313.928;;;;;;;;;;45;71;6;9;5;6.86
38;Isère;;2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;Isère;;2027;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;Isère;;2028;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;Isère;;2029;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;Isère;;2030;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;Loire;;2015;0.847461628;1.135458548;0.86615041;0.514215462;1.440937814;5.816019637;2.552077814;0.111775;0.0422671;0;1.233994976;0.1823693;0;0.031435372;0.020554517;0.129333072;;0.0667056917652504;;;3;64.17792;43.636116;2.625356;26.690851;217.4295;;;;;;
42;Loire;;2016;0.854933437;1.082711737;0.797519722;0.495234506;1.474454172;5.605221356;2.495634645;0.111775;0.0437461;0;1.299884341;0.200030617;0;0.008904766;0.021959863;0.140717704;;0.101827500168589;;;3;83.15041;40.569456;2.159096;19.327428;205.824;;;;;;
42;Loire;;2017;0.841995772;1.062707466;0.781430585;0.481528369;1.460249681;5.492771967;2.425459181;0.111775;0.0524269;0;1.31960274;0.220167712;0;0.033189944;0.022154028;0.140618968;;0.140870419211703;;;3;78.574406;37.673382;2.143278;23.726387;237.0394;;;;;;
42;Loire;;2018;0.828069178;1.091548613;0.800144933;0.488747946;1.42317608;5.623345008;2.522141974;0.111926;0.0563754;0;1.185731648;0.245009426;0;0.035062182;0.021791926;0.137880966;;0.196525900651394;;;3;74.151936;41.854087;2.099732;26.800127;147.2733;;;;;;
42;Loire;;2019;0.814634431;0.998233286;0.773866703;0.456056726;1.453182967;5.476680393;2.415110333;0.11196;0.0617964;0;1.256314682;0.277718612;0;0.032447727;0.022449441;0.155347276;;0.254734424397749;214026.21;47.9472615987579;3;58.918752;40.478463;2.212201;24.328651;190.1201;;;;;;
42;Loire;;2020;0.809664497;1.019748631;0.777361422;0.411648774;1.224144124;5.595731578;2.264479526;0.112374;0.0721103;0;1.146480199;0.314282478;0;0.029139221;0.022543371;0.142697161;;0.473088378683926;217927.65;44.8455675322232;3;70.654464;38.088081;2.392622;31.102261;188.7077;;;;;;0.19
42;Loire;;2021;0.804919756;1.105767784;0.730837447;0.359364414;1.390254123;5.445607511;2.268731904;0.113859;0.0911996;0;1.358681093;0.354821268;0;0.024685702;0.023013025;0.168985259;;0.835776868646077;227997.21;46.5699224716241;3;78.6348;41.158849;2.200135;14.90046;270.6716;;;;;;0.19
42;Loire;;2022;0.799870009;1.027731297;0.663621323;0.330129795;1.412318091;5.185747714;2.335184319;0.114988;0.1129616;0;1.174276819;0.404406872;0;0.022758725;0.022731233;0.160281104;448.962;1.2666037995926;217544.28;44.8548683676594;3;;;;;359.0571;;;;;;0.19
